District Short,District Long,State_Short,State,Wikipedia Page,Wikipedia_Mobile,Rep First Last,"Rep Last, First",Website,Party,ACHA Vote,Margin of Victory 2016,Total Vote,Top Opponent,Hispanic,White,Black,Native American,Asian,Pacific,Other,Multiple Races,Total,Senator 1,Senator 2,Room,Phone
IL-12,Illinois District 12,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_12th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_12th_congressional_district,Mike Bost,"Bost, Mike ",https://bost.house.gov/,Republican,Y,14.60%,"313,002",C.J. Baricevic,"21,358","548,002","118,227","1,463","7,172",162,485,"13,623","710,492",Duckworth,Durbin,1440 LHOB,202-225-5661
IL-13,Illinois District 13,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_13th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_13th_congressional_district,Rodney Davis,"Davis, Rodney ",https://rodneydavis.house.gov/,Republican,Y,19.30%,"314,394",Mark Wicklund,"21,175","570,746","77,878",988,"24,618",126,863,"13,790","710,184",Duckworth,Durbin,1740 LHOB,202-225-2371
IL-14,Illinois District 14,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_14th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_14th_congressional_district,Randy Hultgren,"Hultgren, Randy ",https://hultgren.house.gov/,Republican,Y,18.60%,"338,097",Jim Walz,"81,900","575,569","20,585",567,"29,786",345,753,"9,706","719,211",Duckworth,Durbin,2455 RHOB,202-225-2976
IL-15,Illinois District 15,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_15th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_15th_congressional_district,John Shimkus,"Shimkus, John ",https://shimkus.house.gov/,Republican,Y,100%,"274,554",Unopposed,"17,406","647,554","29,108","1,025","4,252",99,463,"10,495","710,402",Duckworth,Durbin,2217 RHOB,202-225-5271
IL-16,Illinois District 16,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_16th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_16th_congressional_district,Adam Kinzinger,"Kinzinger, Adam ",https://kinzinger.house.gov/,Republican,Y,99.90%,"259,853",Write-in,"59,485","605,224","24,470",620,"9,689",116,405,"8,921","708,930",Duckworth,Durbin,2245 RHOB,202-225-3635
IL-17,Illinois District 17,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_17th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_17th_congressional_district,Cheri Bustos,"Bustos, Cheri ",https://bustos.house.gov/,Democrat,N,20.60%,"287,068",Patrick Harlan,"60,121","548,084","77,694","1,353","7,914",243,912,"13,263","709,584",Duckworth,Durbin,1009 LHOB,202-225-5905
IL-18,Illinois District 18,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_18th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_18th_congressional_district,Darin M. LaHood,"LaHood,Darin ",https://lahood.house.gov/,Republican,Y,44.30%,"347,283",Junius Rodriguez,"18,139","643,526","26,719",737,"16,445",97,823,"10,766","717,252",Duckworth,Durbin,1424 LHOB,202-225-6201
IL-2,Illinois District 2,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_2nd_congressional_district,Robin Kelly,"Kelly, Robin ",https://robinkelly.house.gov/,Democrat,N,59.60%,"294,522",John Morrow,"92,644","209,114","392,746",743,"4,879",46,791,"10,481","711,444",Duckworth,Durbin,1239 LHOB,202-225-0773
IL-3,Illinois District 3,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_3rd_congressional_district,Daniel Lipinski,"Lipinski, Daniel ",https://lipinski.house.gov/,Democrat,N,99.90%,"225,411",Write-in,"212,447","437,924","31,512",608,"26,581",6,880,"7,141","717,099",Duckworth,Durbin,2346 RHOB,202-225-5701
IL-4,Illinois District 4,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_4th_congressional_district,Luis V. GutiÇrrez,"Gutierrez, Luis ",https://gutierrez.house.gov/,Democrat,N,100%,"171,297",Unopposed,"497,724","150,937","27,849",393,"19,303",204,847,"6,288","703,545",Duckworth,Durbin,2408 RHOB,202-225-8203
IL-5,Illinois District 5,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_5th_congressional_district,Mike Quigley,"Quigley, Mike ",https://quigley.house.gov/,Democrat,N,40.40%,"313,724",Vince Kolber,"138,673","504,143","19,230","1,015","49,501",134,"1,166","11,348","725,210",Duckworth,Durbin,2458 RHOB,202-225-4061
IL-6,Illinois District 6,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_6th_congressional_district,Peter Roskam,"Roskam, Peter J. ",https://roskam.house.gov/,Republican,Y,18.40%,"352,146",Amanda Howland,"65,406","566,676","16,008",387,"56,789",118,923,"10,362","716,669",Duckworth,Durbin,2246 RHOB,202-225-4561
IL-7,Illinois District 7,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_7th_congressional_district,Danny K. Davis,"Davis, Danny K. ",https://davis.house.gov/,Democrat,N,68.50%,"297,466",Jeffrey Leef,"92,851","192,497","372,983",700,"42,712",144,"1,480","9,428","712,795",Duckworth,Durbin,2159 RHOB,202-225-5006
IL-8,Illinois District 8,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_8th_congressional_district,Raja Krishnamoorthi,"Krishnamoorthi, Raja ",https://krishnamoorthi.house.gov/,Democrat,N,16.60%,"248,571",Pete DiCianni,"194,210","389,502","33,386",669,"85,565",235,856,"10,440","714,863",Duckworth,Durbin,515 CHOB,202-225-3711
IL-9,Illinois District 9,IL,Illinois,https://en.wikipedia.org/wiki/Illinois%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/Illinois%27s_9th_congressional_district,Jan Schakowsky,"Schakowsky, Jan ",https://schakowsky.house.gov/,Democrat,N,33%,"326,948",Joan McCarthy Lasonde,"81,700","466,291","61,061",854,"89,407",108,"1,525","15,226","716,172",Duckworth,Durbin,2367 RHOB,202-225-2111
IN-1,Indiana District 1,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_1st_congressional_district,Peter J. Visclosky,"Visclosky, Peter ",https://visclosky.house.gov/,Democrat,N,63%,"254,583",Donna Dunn,"101,418","457,816","139,325","1,588","8,927",404,840,"9,280","719,598",Donnelly,Young,2328 RHOB,202-225-2461
IN-2,Indiana District 2,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_2nd_congressional_district,Jackie Walorski,"Walorski, Jackie ",https://walorski.house.gov/,Republican,Y,22.30%,"277,357",Lynn Coleman,"61,440","587,172","48,438","2,102","7,740",252,761,"12,272","720,177",Donnelly,Young,419 CHOB,202-225-3915
IN-3,Indiana District 3,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_3rd_congressional_district,Jim Banks,"Banks, Jim ",https://banks.house.gov/,Republican,Y,47.10%,"287,247",Tommy Schrader,"40,249","612,452","43,614","1,480","11,806",128,"1,068","12,989","723,786",Donnelly,Young,509 CHOB,202-225-4436
IN-4,Indiana District 4,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_4th_congressional_district,Todd Rokita,"Rokita, Todd ",https://rokita.house.gov/,Republican,Y,34.10%,"299,434",John Dale,"39,467","634,292","24,348","1,008","16,800",128,"1,019","9,520","726,582",Donnelly,Young,2439 RHOB,202-225-5037
IN-5,Indiana District 5,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_5th_congressional_district,Susan W. Brooks,"Brooks, Susan W. ",https://susanwbrooks.house.gov/,Republican,Y,27.20%,"361,135",Angela Demaree,"31,011","602,636","56,782",921,"20,863",84,"1,576","16,227","730,100",Donnelly,Young,1030 LHOB,202-225-2276
IN-6,Indiana District 6,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_6th_congressional_district,Luke Messer,"Messer, Luke ",https://messer.house.gov/,Republican,Y,42.40%,"296,385",Barry Welsh,"17,202","666,672","15,463","1,120","7,042",172,797,"12,445","720,913",Donnelly,Young,1230 LHOB,202-225-3021
IN-7,Indiana District 7,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_7th_congressional_district,AndrÇ Carson,"Carson, AndrÇ ",https://carson.house.gov/,Democrat,N,24.30%,"264,670",Catherine Ping,"73,006","410,759","209,135","1,371","14,351",112,"2,040","17,291","728,065",Donnelly,Young,2135 RHOB,202-225-4011
IN-8,Indiana District 8,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_8th_congressional_district,Larry Bucshon,"Bucshon, Larry ",https://bucshon.house.gov/,Republican,Y,32%,"294,713",Ron Drake,"15,201","657,804","29,049","1,231","5,702",206,331,"11,247","720,771",Donnelly,Young,1005 LHOB,202-225-4636
IN-9,Indiana District 9,IN,Indiana,https://en.wikipedia.org/wiki/Indiana%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/Indiana%27s_9th_congressional_district,Trey Hollingsworth,"Hollingsworth, Trey ",https://hollingsworth.house.gov/,Republican,Y,13.70%,"322,843",Shelli Yoder,"21,794","656,802","18,416","1,202","13,539",52,964,"12,100","724,869",Donnelly,Young,1641 LHOB,202-225-5315
IA-1,Iowa District 1,IA,Iowa,https://en.wikipedia.org/wiki/Iowa%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Iowa%27s_1st_congressional_district,Rod Blum,"Blum, Rod ",https://blum.house.gov/,Republican,Y,7.70%,"384,977",Monica Vernon,"26,135","689,143","24,525","2,439","8,765",271,531,"12,387","764,196",Ernst,Grassley,1108 LHOB,202-225-2911
IA-2,Iowa District 2,IA,Iowa,https://en.wikipedia.org/wiki/Iowa%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Iowa%27s_2nd_congressional_district,Dave Loebsack,"Loebsack, David ",https://loebsack.house.gov/,Democrat,N,7.50%,"370,032",Christopher Peters,"38,189","671,602","27,036","1,368","15,309",232,567,"11,448","765,751",Ernst,Grassley,1527 LHOB,202-225-6576
IA-3,Iowa District 3,IA,Iowa,https://en.wikipedia.org/wiki/Iowa%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Iowa%27s_3rd_congressional_district,David Young,"Young, David ",https://davidyoung.house.gov/,Republican,Y,13.70%,"390,287",Jim Mowrer,"48,090","659,763","28,582","1,150","19,110",304,994,"13,883","771,876",Ernst,Grassley,240 CHOB,202-225-5476
IA-4,Iowa District 4,IA,Iowa,https://en.wikipedia.org/wiki/Iowa%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Iowa%27s_4th_congressional_district,Steve King,"King, Steve ",https://steveking.house.gov/,Republican,Y,22.60%,"370,259",Kim Weaver,"45,297","681,649","9,342","2,461","12,266",507,332,"8,876","760,730",Ernst,Grassley,2210 RHOB,202-225-4426
KS-1,Kansas District 1,KS,Kansas,https://en.wikipedia.org/wiki/Kansas%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Kansas%27s_1st_congressional_district,Roger Marshall,"Marshall, Roger ",https://marshall.house.gov/,Republican,Y,39.60%,"257,971",Kerry Burt,"104,213","563,594","19,486","2,771","10,764",575,288,"14,988","716,679",Moran,Roberts,312 CHOB,202-225-2715
KS-2,Kansas District 2,KS,Kansas,https://en.wikipedia.org/wiki/Kansas%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Kansas%27s_2nd_congressional_district,Lynn Jenkins,"Jenkins, Lynn ",https://lynnjenkins.house.gov/,Republican,Y,28.40%,"297,401",Britani Potter,"41,750","597,990","30,576","9,247","9,619",357,601,"23,041","713,181",Moran,Roberts,1526 LHOB,202-225-6601
KS-3,Kansas District 3,KS,Kansas,https://en.wikipedia.org/wiki/Kansas%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Kansas%27s_3rd_congressional_district,Kevin Yoder,"Yoder, Kevin ",https://yoder.house.gov/,Republican,Y,10.70%,"343,113",Jay Sidie,"82,092","530,808","63,004","2,456","27,823",441,816,"15,844","723,284",Moran,Roberts,2433 RHOB,202-225-2865
KS-4,Kansas District 4,KS,Kansas,https://en.wikipedia.org/wiki/Kansas%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Kansas%27s_4th_congressional_district,Ron Estes,"Estes, Ron ",https://estes.house.gov/,Republican,Y,31.10%,"275,251",Daniel Giroux,"80,067","538,312","47,363","5,451","21,776",421,550,"21,023","714,963",Moran,Roberts,2452 RHOB,202-225-6216
KY-1,Kentucky District 1,KY,Kentucky,https://en.wikipedia.org/wiki/Kentucky%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Kentucky%27s_1st_congressional_district,James Comer,"Comer, James ",https://comer.house.gov/,Republican,Y,45.20%,"299,001",Sam Gaskins,"19,570","637,178","49,459","1,291","4,010",463,740,"11,207","723,918",McConnell,Paul,1513 LHOB,202-225-3115
KY-2,Kentucky District 2,KY,Kentucky,https://en.wikipedia.org/wiki/Kentucky%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Kentucky%27s_2nd_congressional_district,Brett Guthrie,"Guthrie, S. Brett ",https://guthrie.house.gov/,Republican,Y,100%,"251,825",Unopposed,"22,076","643,693","40,180","1,482","7,966",513,416,"12,366","728,692",McConnell,Paul,2434 RHOB,202-225-3501
KY-3,Kentucky District 3,KY,Kentucky,https://en.wikipedia.org/wiki/Kentucky%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Kentucky%27s_3rd_congressional_district,John Yarmuth,"Yarmuth, John A. ",https://yarmuth.house.gov/,Democrat,N,27%,"334,494",Harold Bratcher,"32,939","508,209","151,750","1,046","16,238",216,644,"16,801","727,843",McConnell,Paul,131 CHOB,202-225-5401
KY-4,Kentucky District 4,KY,Kentucky,https://en.wikipedia.org/wiki/Kentucky%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Kentucky%27s_4th_congressional_district,Thomas Massie,"Massie, Thomas ",https://massie.house.gov/,Republican,N,42.60%,"327,987",Calvin Sidle,"21,394","662,917","24,346","1,094","7,735",248,963,"10,738","729,435",McConnell,Paul,2453 RHOB,202-225-3465
KY-5,Kentucky District 5,KY,Kentucky,https://en.wikipedia.org/wiki/Kentucky%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Kentucky%27s_5th_congressional_district,Harold Rogers,"Rogers, Harold ",https://halrogers.house.gov/,Republican,Y,100%,"221,242",Unopposed,"7,787","691,709","9,541","1,166","2,132",244,323,"6,656","719,558",McConnell,Paul,2406 RHOB,202-225-4601
KY-6,Kentucky District 6,KY,Kentucky,https://en.wikipedia.org/wiki/Kentucky%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Kentucky%27s_6th_congressional_district,Andy Barr,"Barr, Andy ",https://barr.house.gov/,Republican,Y,22.20%,"330,827",Nancy Jo Kemper,"32,574","609,486","61,826","1,405","12,873",190,766,"12,767","731,887",McConnell,Paul,1427 LHOB,202-225-4706
LA-1,Louisiana District 1,LA,Louisiana,https://en.wikipedia.org/wiki/Louisiana%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Louisiana%27s_1st_congressional_district,Steve Scalise,"Scalise, Steve ",https://scalise.house.gov/,Republican,Y,61.80%,"326,788",Lee Ann Dugas,"61,181","567,147","97,593","8,885","15,972",543,"1,572","11,670","764,563",Cassidy,Kennedy,2338 RHOB,202-225-3015
LA-2,Louisiana District 2,LA,Louisiana,https://en.wikipedia.org/wiki/Louisiana%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Louisiana%27s_2nd_congressional_district,Cedric L. Richmond,"Richmond, Cedric ",https://richmond.house.gov/,Democrat,N,49.70%,"284,269",Kip Holden,"44,621","216,771","471,267","1,527","19,842",316,"1,543","8,668","764,555",Cassidy,Kennedy,420 CHOB,202-225-6636
LA-3,Louisiana District 3,LA,Louisiana,https://en.wikipedia.org/wiki/Louisiana%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Louisiana%27s_3rd_congressional_district,Clay Higgins,"Higgins, Clay ",https://clayhiggins.house.gov/,Republican,Y,12.20%,"138,433",Scott Angelle,"24,214","522,672","185,589","2,880","10,202",222,"1,078","12,894","759,751",Cassidy,Kennedy,1711 LHOB,202-225-2031
LA-4,Louisiana District 4,LA,Louisiana,https://en.wikipedia.org/wiki/Louisiana%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Louisiana%27s_4th_congressional_district,Mike Johnson,"Johnson, Mike ",https://mikejohnson.house.gov/,Republican,Y,30.50%,"133,949",Marshall Jones,"26,723","451,557","255,627","5,704","6,657",475,883,"12,141","759,767",Cassidy,Kennedy,327 CHOB,202-225-2777
LA-5,Louisiana District 5,LA,Louisiana,https://en.wikipedia.org/wiki/Louisiana%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Louisiana%27s_5th_congressional_district,Ralph Abraham,"Abraham, Ralph ",https://abraham.house.gov/,Republican,Y,63.10%,"255,662",Billy Burkette,"15,140","457,187","266,489","2,981","5,042",149,561,"7,576","755,125",Cassidy,Kennedy,417 CHOB,202-225-8490
LA-6,Louisiana District 6,LA,Louisiana,https://en.wikipedia.org/wiki/Louisiana%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Louisiana%27s_6th_congressional_district,Garret Graves,"Graves, Garret ",https://garretgraves.house.gov/,Republican,Y,47.80%,"331,098",Richard Lieberman,"30,266","526,850","177,778","3,041","15,119",234,"1,254","9,665","764,207",Cassidy,Kennedy,430 CHOB,202-225-3901
ME-1,Maine District 1,ME,Maine,https://en.wikipedia.org/wiki/Maine%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Maine%27s_1st_congressional_district,Chellie Pingree,"Pingree, Chellie ",https://pingree.house.gov/,Democrat,N,16%,"392,391",Mark Holbrook,"10,199","624,411","9,640","1,876","9,758",63,435,"9,797","666,179",Collins,King,2162 RHOB,202-225-6116
ME-2,Maine District 2,ME,Maine,https://en.wikipedia.org/wiki/Maine%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Maine%27s_2nd_congressional_district,Bruce Poliquin,"Poliquin, Bruce ",https://poliquin.house.gov/,Republican,Y,9.60%,"352,183",Emily Ann Cain,"7,747","627,553","4,494","5,214","4,291",176,166,"12,500","662,141",Collins,King,1208 LHOB,202-225-6306
MD-1,Maryland District 1,MD,Maryland,https://en.wikipedia.org/wiki/Maryland%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Maryland%27s_1st_congressional_district,Andy Harris,"Harris, Andy ",https://harris.house.gov/,Republican,Y,38.40%,"362,097",Joe Werner,"25,049","587,237","84,079","1,223","13,785",137,"1,165","11,520","724,195",Cardin,Van Hollen,1533 LHOB,202-225-5311
MD-2,Maryland District 2,MD,Maryland,https://en.wikipedia.org/wiki/Maryland%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Maryland%27s_2nd_congressional_district,C.A. Dutch Ruppersberger,"Ruppersberger, C. A. Dutch ",https://ruppersberger.house.gov/,Democrat,N,29%,"309,480",Pat McDonough,"42,101","393,580","233,459","1,641","36,069",261,"2,333","19,684","729,128",Cardin,Van Hollen,2416 RHOB,202-225-3061
MD-3,Maryland District 3,MD,Maryland,https://en.wikipedia.org/wiki/Maryland%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Maryland%27s_3rd_congressional_district,John Sarbanes,"Sarbanes, John P. ",https://sarbanes.house.gov/,Democrat,N,29.30%,"339,675",Mark Plaster,"56,653","450,367","153,654",942,"48,852",718,"1,926","18,085","731,197",Cardin,Van Hollen,2444 RHOB,202-225-4016
MD-4,Maryland District 4,MD,Maryland,https://en.wikipedia.org/wiki/Maryland%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Maryland%27s_4th_congressional_district,Anthony Brown,"Brown, Anthony ",https://anthonybrown.house.gov/,Democrat,N,52.70%,"320,650",George McDermott,"106,337","197,880","384,876","1,389","23,188",207,"1,505","12,998","728,380",Cardin,Van Hollen,1505 LHOB,202-225-8699
MD-5,Maryland District 5,MD,Maryland,https://en.wikipedia.org/wiki/Maryland%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Maryland%27s_5th_congressional_district,Steny H. Hoyer,"Hoyer, Steny H. ",https://hoyer.house.gov/,Democrat,N,38%,"360,634",Mark Arness,"50,244","356,462","271,832","2,358","27,691",425,983,"19,201","729,196",Cardin,Van Hollen,1705 LHOB,202-225-4131
MD-6,Maryland District 6,MD,Maryland,https://en.wikipedia.org/wiki/Maryland%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Maryland%27s_6th_congressional_district,John Delaney,"Delaney, John ",https://delaney.house.gov/,Democrat,N,15.90%,"331,973",Amie Hoeber,"86,193","460,270","91,439","1,926","75,520",230,"1,404","18,973","735,955",Cardin,Van Hollen,1632 LHOB,202-225-2721
MD-7,Maryland District 7,MD,Maryland,https://en.wikipedia.org/wiki/Maryland%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Maryland%27s_7th_congressional_district,Elijah E. Cummings,"Cummings, Elijah ",https://cummings.house.gov/,Democrat,N,53.10%,"318,912",Corrogan Vaughn,"25,022","246,139","388,973","1,886","41,987",157,"1,863","14,400","720,427",Cardin,Van Hollen,2163 RHOB,202-225-4741
MD-8,Maryland District 8,MD,Maryland,https://en.wikipedia.org/wiki/Maryland%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Maryland%27s_8th_congressional_district,Jamie Raskin,"Raskin, Jamie ",https://raskin.house.gov/,Democrat,N,26.40%,"364,324",Dan Cox,"101,711","466,519","83,792",884,"63,292",112,"1,946","17,565","735,821",Cardin,Van Hollen,431 CHOB,202-225-5341
MA-1,Massachusetts District 1,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_1st_congressional_district,Richard E. Neal,"Neal, Richard E. ",https://neal.house.gov/,Democrat,N,55.50%,"321,539",Frederick Mayock,"113,299","547,440","40,831","1,011","13,117",188,"1,888","11,180","728,954",Markey,Warren,341 CHOB,202-225-5601
MA-2,Massachusetts District 2,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_2nd_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_2nd_congressional_district,Jim McGovern,"McGovern, James ",https://mcgovern.house.gov/,Democrat,N,96.50%,"280,411",Write-in,"62,317","589,786","30,327",828,"34,828",232,"1,657","11,630","731,605",Markey,Warren,438 CHOB,202-225-6101
MA-3,Massachusetts District 3,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_3rd_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_3rd_congressional_district,Niki Tsongas,"Tsongas, Niki ",https://tsongas.house.gov/,Democrat,N,37.50%,"344,592",Ann Wofford,"122,531","525,795","18,914",913,"50,676",177,"4,174","12,896","736,076",Markey,Warren,1714 LHOB,202-225-3411
MA-4,Massachusetts District 4,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_4th_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_4th_congressional_district,Joseph P. Kennedy III,"Kennedy III, Joseph P. ",https://kennedy.house.gov/,Democrat,N,40.30%,"379,213",David Rosa,"28,488","631,455","16,671",418,"41,402",280,"2,381","12,419","733,514",Markey,Warren,434 CHOB,202-225-5931
MA-5,Massachusetts District 5,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_5th_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_5th_congressional_district,Katherine M. Clark,"Clark, Katherine ",https://katherineclark.house.gov/index.cfm/home,Democrat,N,97.10%,"289,807",Write-in,"56,712","552,056","32,433",763,"71,439",318,"4,417","16,693","734,831",Markey,Warren,1415 LHOB,202-225-2836
MA-6,Massachusetts District 6,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_6th_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_6th_congressional_district,Seth Moulton,"Moulton, Seth ",https://moulton.house.gov/,Democrat,N,96.70%,"314,055",Write-in,"55,665","621,133","19,916",489,"28,009",115,"1,644","8,968","735,939",Markey,Warren,1408 LHOB,202-225-8020
MA-7,Massachusetts District 7,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_7th_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_7th_congressional_district,Michael E. Capuano,"Capuano, Michael E. ",https://capuano.house.gov/,Democrat,N,97.20%,"256,911",Write-in,"146,968","319,686","173,366","1,226","69,463",148,"9,796","17,438","738,091",Markey,Warren,1414 LHOB,202-225-5111
MA-8,Massachusetts District 8,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_8th_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_8th_congressional_district,Stephen F. Lynch,"Lynch, Stephen F. ",https://lynch.house.gov/,Democrat,N,45%,"374,265",William Burke,"36,706","567,582","63,795",805,"48,070",20,"6,649","13,984","737,611",Markey,Warren,2268 RHOB,202-225-8273
MA-9,Massachusetts District 9,MA,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts%27s_9th_congressional_district,https://en.m.wikipedia.org/wiki/Massachusetts%27s_9th_congressional_district,William Keating,"Keating, William ",https://keating.house.gov/,Democrat,N,22.10%,"379,895",Mark Alliegro,"33,177","645,585","17,673","1,481","8,969",99,"7,764","13,689","728,437",Markey,Warren,2351 RHOB,202-225-3111
MI-1,Michigan District 1,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_1st_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_1st_congressional_district,Jack Bergman,"Bergman, Jack ",https://bergman.house.gov/,Republican,Y,14.80%,"360,271",Lon Johnson,"11,032","647,461","10,044","17,751","4,198",279,402,"14,330","705,497",Peters,Stabenow,414 CHOB,202-225-4735
MI-10,Michigan District 10,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_10th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_10th_congressional_district,Paul Mitchell,"Mitchell, Paul ",https://mitchell.house.gov/,Republican,Y,30.80%,"340,983",Frank Accavitti Jr.,"21,765","642,302","19,357","1,425","9,846",140,367,"10,540","705,742",Peters,Stabenow,211 CHOB,202-225-2106
MI-11,Michigan District 11,MI,Michigan,https://en.wikipedia.org/wiki/Michigan%27s_11th_congressional_district,https://en.m.wikipedia.org/wiki/Michigan%27s_11th_congressional_district,Dave Trott,"Trott, Dave ",https://trott.house.gov/,Republican,Y,12.80%,"379,488",Anil Kumar,"23,060","578,883","33,851","1,470","57,118",139,"1,181","13,714","709,416",Peters,Stabenow,1722 LHOB,202-225-8171
